,"The Givers' Guide is a Project Created and Coordinated by Frayde Yudkowsky, LSW, LMSW, CTP. The Givers' Guide is a constant work in progress. Please email any corrections, additions or changes to Hello@GiversGuide.org",,,,,,,,,,,,,,,,,,,,,,,,
TITLE,DESCRIPTION,COST,IOS/ANDROID,NOTES ,,,,,,,,,,,,,,,,,,,,,
Anxiety,,,,,,,,,,,,,,,,,,,,,,,,,
Breethe,"Rather than making meditation and wellness more items on your to-do list, we make it easily fit into your everyday life — and we like to think we do it with a sense of humor. We want to be the best ‘peace’ of your day

Being human is hard. That’s why we created the Breethe app: your all-day (and night!) partner for anxiety, stress, sleep, and more.",-,ISO/Android,https://breethe.com/,,,,,,,,,,,,,,,,,,,,,
Butterfly Diary,Assists the treatment of panic and anxiety as part of Cognitive Behavioural Therapy. This app is used to keep accurate track of panic and anxiety events as they happen and is used to reflect on these events afterward.,Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Dare: Anxiety & Panic Attack Relief,"An evidence-based app that offers a fresh approach to overcoming anxiety, panic attacks, worry, and insomnia no matter how long the problem has been present. On-screen guides gives something to focus on while breathing deeply and listening to calming nature sounds. SOS section included as well as a 'Relax' area filled with techniques to calm the nervous system and help unwind at night.",Free and Paid Options,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
MindShift,"Mind Shift is one of the best mental health apps designed specifically for teens and young adults with anxiety. Rather than trying to avoid anxious feelings, Mind Shift stresses the importance of changing how you think about anxiety. Think of this app as the cheerleader in your pocket, encouraging you to take charge of your life, ride out intense emotions, and face challenging situations.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Pacifica,"Pacifica is an app with anxiety and stress in mind. It provides a toolbox to deal with daily anxiety and stress, along with a highly supportive community of like-minded individuals.
Pacifica helps you to break cycles of unhelpful thoughts, feelings, and behaviors through methods such as CBT, mindfulness meditation, mood tracking, and relaxation. The app houses audio lessons and activities that help you to cope with stress and depression, and it sets daily challenges to help you tackle anxiety one day at a time and reach your long-term goals
",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Panic Relief,"Panic Relief is designed to help in the midst of high anxiety or a panic attack. Through short cartoons, the app guides you through the sensations that accompany panic and helps you to stay calm during an attack. The app offers various resources to help you to understand what is happening in your body during a panic attack as well as activities—like breathing and relaxation exercises, as well as positive visualization—to help you to soothe and calm yourself, and in some cases, stave off some symptoms.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Rootd,"If you’ve ever felt the need to hit a big fat panic button during an anxiety or panic attack, Rootd is for you. It provides, quite literally, that virtual panic button. Hit it, answer a few questions, and Rootd will guide you through.",Free and Paid Options,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Self-Help for Anxiety Management ,"SAM might be perfect for you if you’re interested in self-help, but meditation isn’t your thing. Users are prompted to build their own 24-hour anxiety toolkit that allows you to track anxious thoughts and behavior over time, and learn 25 different self-help techniques. You can also use SAM’s “Social Cloud” feature to confidentially connect with other users in an online community for additional support.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
BREATHING,,,,,,,,,,,,,,,,,,,,,,,,,
Breethe,"Meditation, hypnotherapy, stories, music, sounds - wellness solutions that work. An all-day (and night!) partner for anxiety, stress, sleep, and more. Rather than making meditation and wellness more items on your to-do list, we make it easily fit into your everyday life. Breethe’s content is developed by qualified professionals to create the most effective and supportive experience.",Free and Paid options,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Breathe2Relax," This app is a portable stress management tool that teaches users a skill called diaphragmatic breathing. Breathe2Relax works by decreasing the body’s ‘fight-or-flight’ stress response, making it a great option for people suffering from PTSD. Breathe2Relax teaches diaphragmatic breathing or “belly breathing,” a technique that encourages full oxygen exchange and has been shown to lower the heart rate, lower blood pressure, and help relieve stress. This type of breathing can help people who are experiencing panic, anxiety, PTSD, or anger. The app features videos, reading materials, and ways for users to track their progress.",Free,IOS/Android,"Created by the National Center for Telehealth and Technology,",,,,,,,,,,,,,,,,,,,,,
Sarah’s Embrace,Mental health support for Jewish single mothers,"3904 Parkside Lane, Hollywood Florida 33021",South Florida and now open to all Jewish mothers,9544408117.0,9544408117.0,None,Zelda Brodowicz,Support@sarahsembrace.org,We offer all kind of modalities to support Jewish single mothers. From breath /somatic events to zoom support groups. We have growing community WhatsApp that is a safe space for single mothers to discuss anything and help support each other.,Sarahsembrace.org,No facebook,@sarahsembrace,No,No,None,,,,,,,,,,
CBT,,,,,,,,,,,,,,,,,,,,,,,,,
CBT Thought Record Diary,"The centerpiece of cognitive-behavioral therapy is changing your emotions by identifying negative and distorted thinking patterns. You can use CBT Thought Record Diary to document negative emotions, analyze flaws in your thinking, and reevaluate your thoughts. This is a great app for gradually changing your approach to anxiety-inducing situations and your thinking patterns for future situations.",Free,IOS/Android,,,,,,,,,,,,,,,,,,,,,,
Cognitive Diary CBT,"Aims to teach the user self-help tools of cognitive-behavioral therapy (CBT) as a means of challenging irrational thinking that might otherwise lead to anger, anxiety, depression, relationship conflict, or stress. Can customise a list of emotions/moods, and can add personal coping statements to a list of challenges. Allows the user’s history of recorded events to be reviewed. Password protected. The app’s methods are claimed to be shown in psychological research as effective in changing behaviour, emotions, and moods.",Free,Android,,,,,,,,,,,,,,,,,,,,,,
