,"The Givers' Guide is a Project Created and Coordinated by Frayde Yudkowsky, LSW, LMSW, CTP. The Givers' Guide is a constant work in progress. Please email any corrections, additions or changes to Hello@GiversGuide.org",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,TYPE,LOCATION OF AGENCY/FACILITY,LOCATION SERVED,PHONE NUMBER ,ALT. PHONE NUMBER ,FAX NUMBER ," Director/Manager/
Supervisor",EMAIL ADDRESS,DESCRIPTION ,INSURANCE INFORMATION,WEBSITE ,FACEBOOK,INSTAGRAM,TWITTER,LINKEDIN,NOTES ,,,,,,,,,,,,,,,,,,,,,
ABUSE PREVENTION AND SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAP,Subsidized Therapy for Survivors of Sexual Abuse,NY/NJ,USA,,,,,,"Subsidized therapy for survivors of sexual abuse through local clinics and agencies, professional training, summer camp safety and resources. ",,asap.cares ,facebook.com/asaptherapy/about,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Melech,Domestic Violence,"Jerusalem, Israel",International,972-2-633-8927,Hotline (Israel) - 1(800)292-333,,,batmelech.office@gmail.com,"Bat Melech provides assistance to abused Orthodox and Ultra-Orthodox woman. They provide shelter, Mental and legal help to abused Orthodox woman suffering from domestic violence and are in life threatening situations.",,batmelech.org,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Safety and Change,Domestic and Sexual Abuse,"9 Johnsons Lane New City, NY 10956",NY,24 Hour Hotline:                (845) 634-3344, Text: (845) 286-4997,,,info@centersc.org,"Emergency shelter, programs and services for victims and survivors of domestic violence, sexual assault, human trafficking and other crimes. Non-profit organization.",,centerforsafetyandchange.org,facebook.com/center,www.instagram.com/center4sc/,twitter.com/center4sc,www.linkedin.com/company/center-for-safety-&-change?,,,,,,,,,,,,,,,,,,,,,,
Discover Therapy,Private practice,"Ramat Hagolan Street, Ramat Eshkol, Jerusalem, Israel",Greater Jerusalem,972527669832,none,none,Chaya Primack,chaya@discovertherapy.org.il,"Children/adolescents - Treatment for anxiety, emotional dysregulation, behavioral issues, trauma, sexual abuse, divorce, attachment/developmental disorders, family mental illness - using art, play, and animal tools. Attachment/Mentalization-based models. 
Couples therapy - Attachment-based models ",,none,none,none,none,Chaya Primack,Option for reduced rate with supervisees,,,,,,,,,,,,,,,,,,,,,
Domestic abuse support group - Ohel,Abuse Support Group,,Brooklyn,(718) 851-6300,,,,,"Domestic abuse support group, weekly meeting in Brooklyn through Ohel. Intake: 718-851-6300

",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Shmira Line,Child Abuse Prevention,"Lakewood, NJ ",USA and International,(641) 715-3800    access code: 811504#,,,,,"Phone number to call to hear important messages from Rabbonim, Doctors and Psychotherapists regarding communication and safety in homes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
K'nafayim,nonprofit organization,"Baltimore, MD, USA",Maryland,443-961-7359,,,Raffi Bilek,info@knafayim.com,"K'nafayim is a family services agency that provides low-cost marriage & family counseling, as well as educational seminars related to dating, marriage, parenting, and abuse prevention.",Sliding Scale,www.knafayim.com,,,,,Updated: Sept 1st 2025,,,,,,,,,,,,,,,,,,,,,
Lishmor,Child Abuse Prevention,"104 Reagan Ct, Lakewood, NJ 08701","Lakewood, NJ",(732) 454-5474,,,,Info@lishmorlakewood.org,"Guided by rabbanim and professionals, Lishmor is a non-profit community resource created to address and prevent abuse in the Lakewood community.",,lishmorlakewood.org,,,,,"Under the guidance of Rabbi Yaakov Forchheimer, Rabbi Henoch Shachar and Rabbi Uri Deutsch",,,,,,,,,,,,,,,,,,,,,
Magen,Sexual Abuse,USA and International,USA and International,(888) 529-4852,,,"Shoshana Glucksman, LMFT, MHC, NCC",Shoshana@jewishcommunitywatch.org ,"Abuse Prevention. Educates the public by promoting child safety, increasing awareness and eliminating the stigma and shame of abuse. Helps victims heal through guidance and support.",,jewishcommunitywatch.org ,facebook.com/JewishCommunityWatch,instagram.com/jewish_community_watch,twitter.com/jcwatch,linkedin.com/company/jewish-community-watch ,,,,,,,,,,,,,,,,,,,,,,
Magen Yeladim Child Safety Institute ,Child Abuse Prevention,"4221 Wilshire Boulevard, Suite 170-4 Los Angeles, CA 90010",USA and International,(323) 424-4532,,,"Debbie Fox, LCSW ",info@mychildsafetyinstitute.org ,"Education and prevention programs, child safety awareness training, seminars, liaison with/consultation for institutions, agencies and Jewish Day schools for children of all ages, community resource research and program development.",,mychildsafetyinstitute.org ,,,,linkedin.com/company/magen-yeladim-child-safety-institute-inc ,,,,,,,,,,,,,,,,,,,,,,
Magenu ,Child Abuse Prevention,"44 Wall Street, Second Floor New York, NY 10005; 2772 Nostrand Avenue Brooklyn, NY 11210; 4000 Hollywood Boulevard, Suite 555-5 Hollywood, FL 33021",USA ,(1855) Magenu1,(718) 408-7233,(212) 898-9003,"Dr. Shani Verschleiser, AuD, LMSW",info@magenu.org ,"Safety education for children. Parent and educator trainings, awareness projects, summer safety manual, Be A Star personal safety program, comic series, resources, videos and workshops. ",,magenu.org ,facebook.com/Magenu.org,instagram.com/magenu.personal.safety,,linkedin.com/company/magenu ,,,,,,,,,,,,,,,,,,,,,,
Met Council,Domestic Abuse,NY,USA,Hotline:                                      (212) 453-9618,Text Line:                        (917) 540-0225,,"Nechama Bakst, LCSW-R, Senior Director and David Greenfield, CEO",,Family Violence program helpline from 8am through midnight on Sunday through Thursday and 9am-3pm on Friday. ,,metcouncil.org ,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindful moments therapeutics,Private Practice,63 hope hill lane lakewood,Lakewood and surrounding areas,7328829683.0,7328829683.0,7328829683.0,Bracha daum,Elise.klg@gmail.com,Social worker,,N/A,Hh,None,X,X,X,,,,,,,,,,,,,,,,,,,,,
Myself Lingerie,Victims of Sexual Abuse / Mastectomy,Lakewood NJ; Boro Park NY,NJ and NY,"(718) 480-0675 Ext. 3,  2",,,,Rachel@myselflingerie.com,"Expertly trained fitters who are given special training in fitting victims of sexual abuse. Recommended to book private appointment in advance.  Also certified in fitting women who have had a mastectomy. 
Ultra sensitive environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
